iter	Passed	Remaining
0	32	19642
1	62	18615
2	86	17287
3	112	16727
4	137	16311
5	161	16029
6	185	15689
7	208	15428
8	231	15197
9	254	15020
10	276	14822
11	299	14664
12	321	14535
13	344	14411
14	368	14390
15	392	14326
16	416	14276
17	439	14222
18	462	14155
19	486	14115
20	509	14051
21	533	14010
22	556	13952
23	579	13915
24	602	13866
25	626	13826
26	650	13807
27	674	13769
28	697	13724
29	719	13663
30	742	13620
31	765	13594
32	789	13556
33	813	13548
34	838	13537
35	862	13510
36	885	13475
37	908	13441
38	932	13409
39	955	13373
40	979	13354
41	1002	13323
42	1027	13312
43	1051	13280
44	1074	13254
45	1097	13221
46	1120	13186
47	1144	13160
48	1167	13126
49	1190	13092
50	1213	13057
51	1235	13019
52	1258	12987
53	1280	12951
54	1303	12912
55	1325	12872
56	1347	12835
57	1370	12806
58	1393	12777
59	1416	12746
60	1439	12723
61	1463	12701
62	1486	12674
63	1510	12650
64	1535	12635
65	1559	12614
66	1583	12593
67	1605	12556
68	1629	12538
69	1651	12507
70	1673	12470
71	1696	12441
72	1719	12414
73	1741	12381
74	1764	12350
75	1788	12327
76	1812	12307
77	1837	12299
78	1861	12275
79	1884	12249
80	1908	12227
81	1931	12202
82	1955	12181
83	1979	12160
84	2003	12138
85	2027	12114
86	2050	12092
87	2073	12064
88	2097	12043
89	2121	12019
90	2143	11989
91	2166	11962
92	2189	11937
93	2213	11912
94	2235	11883
95	2257	11853
96	2280	11827
97	2302	11795
98	2325	11769
99	2349	11748
100	2372	11723
101	2395	11697
102	2419	11672
103	2442	11646
104	2464	11617
105	2487	11592
106	2510	11568
107	2534	11543
108	2558	11526
109	2583	11508
110	2609	11494
111	2633	11472
112	2657	11451
113	2682	11436
114	2705	11409
115	2731	11396
116	2755	11373
117	2781	11363
118	2806	11344
119	2829	11319
120	2854	11300
121	2877	11275
122	2901	11253
123	2926	11234
124	2950	11213
125	2974	11190
126	2999	11170
127	3022	11146
128	3046	11124
129	3070	11102
130	3093	11076
131	3117	11051
132	3143	11037
133	3167	11014
134	3191	10992
135	3215	10969
136	3239	10948
137	3262	10921
138	3285	10894
139	3308	10870
140	3331	10845
141	3354	10819
142	3376	10791
143	3399	10763
144	3422	10740
145	3444	10709
146	3465	10680
147	3489	10656
148	3512	10630
149	3534	10604
150	3557	10579
151	3581	10555
152	3604	10531
153	3627	10506
154	3650	10480
155	3673	10454
156	3696	10429
157	3718	10403
158	3742	10380
159	3765	10354
160	3786	10325
161	3809	10298
162	3832	10274
163	3855	10249
164	3877	10223
165	3900	10197
166	3924	10175
167	3947	10150
168	3971	10128
169	3994	10103
170	4019	10082
171	4041	10055
172	4063	10029
173	4085	10001
174	4107	9974
175	4131	9953
176	4155	9931
177	4178	9906
178	4201	9880
179	4223	9855
180	4246	9829
181	4268	9804
182	4291	9779
183	4314	9755
184	4338	9731
185	4362	9709
186	4385	9686
187	4407	9659
188	4431	9635
189	4453	9609
190	4475	9584
191	4497	9556
192	4518	9528
193	4541	9505
194	4563	9477
195	4585	9451
196	4608	9427
197	4630	9401
198	4652	9375
199	4672	9345
200	4693	9317
201	4715	9291
202	4737	9265
203	4757	9235
204	4778	9207
205	4801	9183
206	4823	9157
207	4845	9131
208	4868	9108
209	4889	9080
210	4912	9056
211	4933	9029
212	4956	9005
213	4979	8982
214	5001	8955
215	5023	8929
216	5045	8904
217	5066	8878
218	5087	8851
219	5109	8825
220	5130	8798
221	5153	8775
222	5175	8749
223	5194	8719
224	5215	8693
225	5237	8667
226	5260	8643
227	5280	8616
228	5303	8591
229	5324	8566
230	5346	8540
231	5367	8514
232	5388	8487
233	5408	8458
234	5428	8431
235	5449	8405
236	5472	8381
237	5493	8355
238	5513	8327
239	5534	8301
240	5557	8278
241	5578	8251
242	5599	8226
243	5620	8200
244	5641	8174
245	5661	8146
246	5681	8120
247	5704	8096
248	5726	8071
249	5746	8044
250	5767	8019
251	5790	7995
252	5810	7969
253	5832	7945
254	5853	7919
255	5875	7894
256	5896	7870
257	5918	7844
258	5940	7821
259	5960	7794
260	5982	7770
261	6002	7743
262	6024	7719
263	6045	7694
264	6067	7670
265	6089	7646
266	6110	7621
267	6133	7598
268	6158	7578
269	6180	7554
270	6201	7528
271	6221	7502
272	6242	7477
273	6263	7451
274	6284	7426
275	6305	7401
276	6326	7377
277	6347	7351
278	6369	7328
279	6390	7303
280	6411	7279
281	6432	7254
282	6455	7231
283	6476	7206
284	6499	7183
285	6522	7160
286	6542	7135
287	6563	7110
288	6586	7087
289	6608	7064
290	6629	7039
291	6651	7015
292	6673	6992
293	6694	6967
294	6716	6944
295	6736	6918
296	6757	6894
297	6779	6870
298	6799	6845
299	6820	6820
300	6842	6796
301	6863	6772
302	6883	6747
303	6906	6724
304	6928	6700
305	6949	6677
306	6972	6654
307	6994	6631
308	7016	6607
309	7037	6583
310	7057	6558
311	7078	6533
312	7100	6510
313	7122	6487
314	7146	6465
315	7168	6442
316	7188	6417
317	7210	6394
318	7233	6372
319	7256	6349
320	7276	6324
321	7299	6301
322	7319	6277
323	7339	6251
324	7360	6227
325	7380	6203
326	7403	6180
327	7423	6156
328	7444	6132
329	7466	6108
330	7487	6085
331	7509	6061
332	7529	6037
333	7549	6012
334	7571	5989
335	7591	5964
336	7613	5941
337	7636	5919
338	7657	5895
339	7678	5871
340	7700	5848
341	7721	5825
342	7743	5802
343	7767	5780
344	7790	5757
345	7812	5734
346	7834	5712
347	7856	5689
348	7879	5666
349	7900	5643
350	7921	5619
351	7941	5595
352	7963	5572
353	7985	5549
354	8006	5525
355	8029	5503
356	8050	5480
357	8074	5458
358	8095	5434
359	8117	5411
360	8139	5388
361	8161	5365
362	8180	5341
363	8201	5317
364	8222	5294
365	8245	5271
366	8266	5248
367	8287	5224
368	8307	5200
369	8330	5178
370	8352	5155
371	8372	5131
372	8392	5107
373	8416	5085
374	8437	5062
375	8460	5040
376	8483	5018
377	8504	4994
378	8526	4971
379	8547	4948
380	8568	4925
381	8588	4901
382	8609	4878
383	8631	4855
384	8652	4831
385	8673	4808
386	8696	4786
387	8716	4762
388	8737	4739
389	8758	4716
390	8780	4693
391	8801	4670
392	8823	4647
393	8844	4624
394	8864	4600
395	8885	4577
396	8906	4554
397	8927	4530
398	8949	4508
399	8970	4485
400	8991	4461
401	9013	4439
402	9037	4417
403	9058	4394
404	9081	4372
405	9103	4349
406	9124	4326
407	9143	4302
408	9163	4279
409	9184	4256
410	9205	4233
411	9226	4210
412	9246	4186
413	9268	4164
414	9289	4141
415	9311	4118
416	9333	4095
417	9354	4073
418	9374	4049
419	9395	4026
420	9416	4003
421	9438	3980
422	9460	3958
423	9480	3935
424	9502	3912
425	9523	3889
426	9543	3866
427	9563	3843
428	9583	3820
429	9605	3797
430	9628	3775
431	9652	3753
432	9672	3730
433	9692	3707
434	9715	3685
435	9736	3662
436	9757	3639
437	9780	3617
438	9799	3594
439	9819	3570
440	9841	3548
441	9861	3525
442	9882	3502
443	9903	3479
444	9924	3456
445	9947	3434
446	9969	3412
447	9989	3389
448	10008	3366
449	10031	3343
450	10051	3320
451	10071	3297
452	10091	3274
453	10111	3251
454	10133	3229
455	10154	3206
456	10175	3184
457	10196	3161
458	10216	3138
459	10239	3116
460	10261	3094
461	10283	3071
462	10303	3048
463	10323	3025
464	10344	3003
465	10366	2980
466	10386	2958
467	10407	2935
468	10429	2913
469	10450	2890
470	10469	2867
471	10491	2845
472	10511	2822
473	10532	2799
474	10551	2776
475	10572	2754
476	10592	2731
477	10612	2708
478	10632	2685
479	10654	2663
480	10675	2641
481	10696	2618
482	10715	2595
483	10736	2573
484	10756	2550
485	10777	2528
486	10797	2505
487	10820	2483
488	10841	2460
489	10863	2438
490	10885	2416
491	10906	2394
492	10928	2371
493	10951	2349
494	10971	2327
495	10992	2304
496	11013	2282
497	11036	2260
498	11059	2238
499	11080	2216
500	11101	2193
501	11123	2171
502	11144	2149
503	11165	2126
504	11186	2104
505	11208	2082
506	11230	2060
507	11251	2037
508	11272	2015
509	11293	1993
510	11315	1970
511	11337	1948
512	11357	1926
513	11380	1904
514	11401	1881
515	11421	1859
516	11442	1837
517	11463	1814
518	11484	1792
519	11503	1769
520	11524	1747
521	11546	1725
522	11567	1703
523	11590	1681
524	11610	1658
525	11630	1636
526	11653	1614
527	11675	1592
528	11695	1569
529	11714	1547
530	11739	1525
531	11760	1503
532	11782	1481
533	11804	1458
534	11824	1436
535	11845	1414
536	11868	1392
537	11890	1370
538	11912	1348
539	11932	1325
540	11953	1303
541	11974	1281
542	11995	1259
543	12016	1237
544	12037	1214
545	12059	1192
546	12081	1170
547	12101	1148
548	12122	1126
549	12144	1104
550	12164	1081
551	12183	1059
552	12202	1037
553	12225	1015
554	12245	992
555	12265	970
556	12285	948
557	12304	926
558	12326	904
559	12345	881
560	12366	859
561	12386	837
562	12407	815
563	12427	793
564	12450	771
565	12469	749
566	12491	727
567	12513	704
568	12534	682
569	12555	660
570	12575	638
571	12594	616
572	12612	594
573	12635	572
574	12654	550
575	12678	528
576	12698	506
577	12719	484
578	12738	462
579	12758	439
580	12777	417
581	12799	395
582	12820	373
583	12843	351
584	12865	329
585	12887	307
586	12909	285
587	12930	263
588	12954	241
589	12975	219
590	12998	197
591	13020	175
592	13043	153
593	13062	131
594	13084	109
595	13107	87
596	13129	65
597	13148	43
598	13168	21
599	13188	0
