iter	RMSE
0	3893.020821
1	3758.434102
2	3626.755679
3	3502.848157
4	3384.647854
5	3271.299805
6	3162.515987
7	3055.980631
8	2954.546547
9	2859.591401
10	2766.246108
11	2676.796967
12	2592.498554
13	2510.856935
14	2434.942172
15	2360.442633
16	2289.294076
17	2220.771699
18	2154.982554
19	2091.820397
20	2032.187484
21	1975.666181
22	1921.208409
23	1868.362036
24	1817.781672
25	1769.846121
26	1723.932863
27	1678.837814
28	1636.852429	29	1596.136062
30	1557.36094
31	1520.729939
32	1486.967113
33	1454.108906
34	1420.203445
35	1389.35425
36	1360.059165
37	1331.674035
38	1304.657891
39	1278.390307
40	1253.239822
41	1227.822614
42	1204.454356
43	1182.616644	44	1160.003045	45	1140.25446	146	1120.83669
47	1102.741263
48	1084.842391
49	1067.004431
50	1050.167746
51	1035.120173
52	1020.466457
53	1006.582738
54	991.855612
55	979.6439891
56	966.9075026
57	955.0362913
58	942.8794704
59	931.1739123
60	921.3707552
61	911.4059854
62	901.4029546
63	893.0486769
64	883.8195568
65	875.0322666	66	866.9829866
67	858.7927168	68	850.732868
69	843.3038646
70	836.1410047
71	829.7789928
72	823.544454
73	817.1156403
74	810.393773
75	805.7342487
76	800.1551199
77	794.2836093
78	789.1391829
79	783.9996437
80	777.4533264
81	773.112978
82	768.7859725
83	764.5165752
84	760.2288086
85	755.9697977
86	752.1256617
87	748.5825486
88	744.792163
89	741.6494713
90	738.5264289
91	735.1855899
92	731.8671518
93	729.1251175
94	726.5669149

95	1700.84099
96	1686.913128
97	1673.127032
98	1659.556907
99	1646.022765
100	1632.606822
7
101	162102	1611.102	160103	1598.103	159104	1585.104	158105	1573.105	156106	1560.106	155107	1548.107	154108	1535.108	153109	1523.109	1519.892638
.2763046
111	692.9164689
112	691.4211839
113	689.7850483
114	688.3378524
115	686.5221599
116	684.729233
117	683.5491184
118	682.3692915
119	681.1732938
120	679.9232361
121	678.850681
122	677.2884047
123	676.1545839
124	674.7699828
125	673.2914194
126	672.2785027
127	671.4720224
128	670.6360118
129	669.6878764
130	668.6573431
131	667.0537783
132	666.2182249
133	665.1847917
134	664.1267705
135	663.3610074
136	662.1979625
137	660.5265378
138	659.8552649
139	659.1138387
140	658.190369
141	657.0832855
142	655.776871
143	654.8293008
144	653.5285761
145	652.4105986
146	651.6526098
147	651.1177794
148	650.1036245
149	649.557407
150	648.7988693
151	648.2808925
