iter	Passed	Remaining
0	31	18575
1	57	17321
2	85	17006
3	114	16996
4	147	17503
5	175	17352
6	204	17330
7	235	17404
8	263	17293
9	296	17470
10	325	17449
11	354	17349
12	382	17252
13	412	17273
14	439	17149
15	470	17177
16	499	17123
17	526	17016
18	552	16884
19	578	16790
20	605	16689
21	632	16608
22	657	16497
23	683	16406
24	711	16356
25	738	16312
26	765	16236
27	792	16185
28	817	16088
29	842	16016
30	869	15955
31	896	15917
32	924	15887
33	951	15832
34	977	15773
35	1003	15713
36	1029	15667
37	1055	15614
38	1082	15569
39	1110	15542
40	1136	15492
41	1161	15431
42	1188	15397
43	1214	15352
44	1242	15320
45	1268	15281
46	1294	15230
47	1320	15190
48	1346	15141
49	1372	15098
50	1399	15068
51	1427	15038
52	1453	14999
53	1480	14969
54	1508	14949
55	1536	14926
56	1561	14870
57	1590	14862
58	1615	14817
59	1642	14782
60	1670	14756
61	1696	14725
62	1723	14690
63	1748	14646
64	1774	14606
65	1800	14567
66	1826	14526
67	1852	14493
68	1882	14487
69	1907	14444
70	1935	14417
71	1961	14382
72	1986	14344
73	2013	14313
74	2037	14261
75	2063	14229
76	2089	14192
77	2114	14154
78	2140	14114
79	2165	14075
80	2192	14046
81	2217	14009
82	2243	13975
83	2270	13948
84	2296	13915
85	2322	13880
86	2346	13833
87	2371	13795
88	2397	13767
89	2425	13741
90	2449	13702
91	2474	13663
92	2500	13633
93	2530	13620
94	2558	13601
95	2583	13564
96	2611	13540
97	2636	13503
98	2661	13467
99	2688	13440
100	2718	13430
101	2746	13410
102	2773	13383
103	2799	13349
104	2826	13325
105	2852	13292
106	2876	13255
107	2901	13218
108	2928	13193
109	2954	13160
110	2978	13122
111	3004	13091
112	3027	13049
113	3053	13018
114	3080	12991
115	3105	12956
116	3129	12920
117	3155	12887
118	3179	12853
119	3205	12821
120	3231	12791
121	3258	12767
122	3284	12738
123	3308	12699
124	3334	12672
125	3362	12651
126	3389	12622
127	3414	12592
128	3440	12560
129	3466	12532
130	3491	12498
131	3519	12479
132	3547	12455
133	3575	12433
134	3600	12400
135	3627	12377
136	3649	12335
137	3674	12300
138	3697	12263
139	3721	12226
